,Title,Year,Rating,Vote,Metascore,Budget,Certificate,Runtime,Genre,Overview,Artist,Director
0,The Shawshank Redemption,(1994),9.3,"2,751,116",82        ,$28.34M,R,142 min,Drama,"
Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler']",Frank Darabont
1,The Dark Knight,(2008),9.0,"2,723,845",84        ,$534.86M,PG-13,152 min,"Action, Crime, Drama","
When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",Christopher Nolan
2,Inception,(2010),8.8,"2,417,677",74        ,$292.58M,PG-13,148 min,"Action, Adventure, Sci-Fi","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']",Christopher Nolan
3,Fight Club,(1999),8.8,"2,190,708",66        ,$37.03M,R,139 min,Drama,"
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",David Fincher
4,Forrest Gump,(1994),8.8,"2,140,219",82        ,$330.25M,PG-13,142 min,"Drama, Romance","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",Robert Zemeckis
5,Pulp Fiction,(1994),8.9,"2,113,442",95        ,$107.93M,R,154 min,"Crime, Drama","
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",Quentin Tarantino
6,The Matrix,(1999),8.7,"1,961,283",73        ,$171.48M,R,136 min,"Action, Sci-Fi","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']",Lilly Wachowski; Lana Wachowski
7,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"1,918,805",92        ,$315.54M,PG-13,178 min,"Action, Adventure, Drama","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",Peter Jackson
8,Interstellar,(2014),8.7,"1,916,598",74        ,$188.02M,PG-13,169 min,"Adventure, Drama, Sci-Fi","
When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']",Christopher Nolan
9,The Godfather,(1972),9.2,"1,913,676",100        ,$134.97M,R,175 min,"Crime, Drama","
Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",Francis Ford Coppola
